generated_status,decision,reviewer,review_notes,hr_rank,hr_frequency,ekavian_lemma,ijekavian_lemma,ikavian_suggestion,rule,family_anchor,upos,compatible_msd_slots,changed_surface_pairs,ambiguous_msd_slots,reasons
known,,,,6471,10114,prosveta,prosvjeta,prosvita,je→e,prosvetni↔prosvjetni,NOUN,13,13,1,ambiguous-surface-variants
review,,,,6487,10077,mesni,misni,,i→e,,ADJ,0,0,0,i-reflex-review-only|competing-ekavian-sources|conflicts-with-higher-trust-ekavian-map|fewer-than-three-compatible-msd-slots|fewer-than-two-changed-surface-pairs
review,,,,6508,10028,zavoleti,zavoljeti,zavoliti,je→e,voleti↔voljeti,ADJ|ADV|VERB,60,13,16,ambiguous-surface-variants
review,,,,6538,9951,lepiti,lijepiti,lipiti,ije→e,lep↔lijep,ADJ|ADV|VERB,60,60,16,ambiguous-surface-variants
review,,,,6544,9934,večnost,vječnost,vičnost,je→e,protivrečnost↔protivrječnost,NOUN,13,13,1,ambiguous-surface-variants
accepted,,,,6550,9911,zaboleti,zaboljeti,zaboliti,je→e,voleti↔voljeti,ADV|VERB,23,13,0,
review,,,,6562,9879,videlo,vidjelo,vidilo,je→e,delo↔djelo,NOUN,13,13,1,ambiguous-surface-variants
review,,,,6565,9871,breg,brijeg,brig,ije→e,,NOUN,7,7,7,no-higher-trust-family-anchor|ambiguous-surface-variants
review,,,,6650,9676,snežan,snježan,snižan,je→e,,ADJ,91,91,48,no-higher-trust-family-anchor|ambiguous-surface-variants
review,,,,6657,9656,deljenje,dijeljenje,diljenje,ije→e,,NOUN,13,13,1,no-higher-trust-family-anchor|ambiguous-surface-variants
review,,,,6658,9650,besan,bijesan,bisan,ije→e,,ADJ,91,91,48,no-higher-trust-family-anchor|ambiguous-surface-variants
review,,,,6659,9650,lekovit,ljekovit,likovit,je→e,,ADJ,91,91,48,no-higher-trust-family-anchor|ambiguous-surface-variants
review,,,,6661,9643,zametiti,zamijetiti,zamititi,ije→e,primetiti↔primijetiti,ADJ|ADV|VERB,60,60,16,ambiguous-surface-variants
review,,,,6665,9632,peta,pita,,i→e,,NOUN,0,0,0,i-reflex-review-only|competing-ijekavian-targets|competing-ekavian-sources|fewer-than-three-compatible-msd-slots|fewer-than-two-changed-surface-pairs
review,,,,6666,9629,zasedanje,zasjedanje,zasidanje,je→e,,NOUN,13,13,1,no-higher-trust-family-anchor|ambiguous-surface-variants
review,,,,6675,9597,vernost,vjernost,virnost,je→e,vera↔vjera,NOUN,13,13,1,ambiguous-surface-variants
review,,,,6676,9595,cenjen,cijenjen,cinjen,ije→e,cena↔cijena,ADJ,64,64,32,ambiguous-surface-variants
review,,,,6677,9595,setno,sitno,,i→e,,ADV,0,0,0,i-reflex-review-only|competing-ijekavian-targets|competing-ekavian-sources|fewer-than-three-compatible-msd-slots|fewer-than-two-changed-surface-pairs
review,,,,6680,9587,testenina,tjestenina,tistenina,je→e,,NOUN,13,13,1,no-higher-trust-family-anchor|ambiguous-surface-variants
review,,,,6682,9578,propovedati,propovijedati,propovidati,ije→e,,ADJ|ADV|VERB,60,60,16,no-higher-trust-family-anchor|ambiguous-surface-variants
known,,,,6692,9557,nesvesno,nesvjesno,nesvisno,je→e,svesno↔svjesno,ADV,2,2,1,fewer-than-three-compatible-msd-slots|ambiguous-surface-variants
review,,,,6704,9533,svetonazor,svjetonazor,svitonazor,je→e,,NOUN,13,13,1,no-higher-trust-family-anchor|ambiguous-surface-variants
review,,,,6710,9511,izleteti,izletiti,,i→e,,ADV|VERB,10,0,0,i-reflex-review-only|competing-ijekavian-targets|competing-ekavian-sources|fewer-than-two-changed-surface-pairs
review,,,,6712,9507,teskoba,tjeskoba,tiskoba,je→e,,NOUN,13,13,1,no-higher-trust-family-anchor|ambiguous-surface-variants
known,,,,6752,9422,razmenjivati,razmjenjivati,razminjivati,je→e,razmena↔razmjena,ADJ|ADV|VERB,60,60,16,ambiguous-surface-variants
known,,,,6782,9372,odmeriti,odmjeriti,odmiriti,je→e,overiti↔ovjeriti,ADJ|ADV|VERB,60,60,16,ambiguous-surface-variants
known,,,,6813,9309,veštak,vještak,vištak,je→e,veštačenje↔vještačenje,NOUN,13,13,1,ambiguous-surface-variants
