generated_status,decision,reviewer,review_notes,hr_rank,hr_frequency,ekavian_lemma,ijekavian_lemma,ikavian_suggestion,rule,family_anchor,upos,compatible_msd_slots,changed_surface_pairs,ambiguous_msd_slots,reasons
accepted,,,,8345,6847,savetnica,savjetnica,savitnica,je→e,savet↔savjet,NOUN,14,14,0,
review,,,,8362,6822,licemerje,licemjerje,licemirje,je→e,,NOUN,13,13,1,no-higher-trust-family-anchor|ambiguous-surface-variants
review,,,,8370,6818,iznedriti,iznjedriti,iznidriti,je→e,,ADJ|ADV|VERB,60,60,16,no-higher-trust-family-anchor|ambiguous-surface-variants
accepted,,,,8387,6794,dopreti,doprijeti,dopriti,ije→e,uneti↔unijeti,ADV|VERB,29,14,0,
accepted,,,,8403,6774,smešiti,smiješiti,smišiti,ije→e,rešiti↔riješiti,ADV|VERB,23,23,0,
known,,,,8405,6769,delokrug,djelokrug,dilokrug,je→e,delo↔djelo,NOUN,14,14,0,
review,,,,8407,6764,merenje,mirenje,,i→e,,NOUN,0,0,0,i-reflex-review-only|competing-ekavian-sources|fewer-than-three-compatible-msd-slots|fewer-than-two-changed-surface-pairs
review,,,,8419,6751,premorski,primorski,,i→e,,ADJ|ADV,0,0,0,i-reflex-review-only|competing-ijekavian-targets|competing-ekavian-sources|fewer-than-three-compatible-msd-slots|fewer-than-two-changed-surface-pairs
review,,,,8443,6721,nepoverenje,nepovjerenje,nepovirenje,je→e,poverenje↔povjerenje,NOUN,13,13,1,ambiguous-surface-variants
review,,,,8451,6710,nesvestan,nesvjestan,nesvistan,je→e,nesvesno↔nesvjesno,ADJ,64,64,75,ambiguous-surface-variants
review,,,,8455,6707,nameriti,namiriti,,i→e,,ADV|VERB,0,0,0,i-reflex-review-only|competing-ijekavian-targets|competing-ekavian-sources|fewer-than-three-compatible-msd-slots|fewer-than-two-changed-surface-pairs
known,,,,8456,6707,overiti,ovjeriti,oviriti,je→e,poveriti↔povjeriti,ADJ|ADV|VERB,60,60,16,ambiguous-surface-variants
review,,,,8460,6703,predelo,predjelo,predilo,je→e,delo↔djelo,NOUN,13,13,1,ambiguous-surface-variants
review,,,,8463,6699,merni,mjerni,mirni,je→e,namerni↔namjerni,ADJ,27,27,16,ambiguous-surface-variants
review,,,,8465,6694,isečak,isječak,isičak,je→e,,NOUN,13,13,1,no-higher-trust-family-anchor|ambiguous-surface-variants
review,,,,8474,6683,bled,blijed,blid,ije→e,,ADJ,91,91,48,no-higher-trust-family-anchor|ambiguous-surface-variants
review,,,,8488,6660,poslediplomski,poslijediplomski,poslidiplomski,ije→e,posle↔poslije,ADJ|ADV,28,28,16,ambiguous-surface-variants
review,,,,8493,6657,licemeran,licemjeran,licemiran,je→e,,ADJ,91,91,48,no-higher-trust-family-anchor|ambiguous-surface-variants
accepted,,,,8496,6653,slevati,slijevati,slivati,ije→e,podrazumevati↔podrazumijevati,ADV|VERB,23,23,0,
accepted,,,,8498,6648,dosetiti,dosjetiti,dosititi,je→e,osetiti↔osjetiti,ADV|VERB,23,23,0,
accepted,,,,8502,6643,cvetati,cvjetati,cvitati,je→e,cvetni↔cvjetni,ADV|VERB,23,23,0,
review,,,,8507,6639,izneveriti,iznevjeriti,izneviriti,je→e,overiti↔ovjeriti,ADJ|ADV|VERB,60,60,16,ambiguous-surface-variants
review,,,,8510,6635,nevernik,nevjernik,nevirnik,je→e,neverovatni↔nevjerovatni,NOUN,13,13,1,ambiguous-surface-variants
review,,,,8523,6623,razboleti,razboljeti,razboliti,je→e,voleti↔voljeti,ADJ|ADV|VERB,60,50,16,ambiguous-surface-variants
review,,,,8524,6622,nalepnica,naljepnica,nalipnica,je→e,menica↔mjenica,NOUN,13,13,1,ambiguous-surface-variants
review,,,,8529,6617,breg,brig,,i→e,,NOUN,0,0,0,i-reflex-review-only|competing-ekavian-sources|fewer-than-three-compatible-msd-slots|fewer-than-two-changed-surface-pairs
review,,,,8549,6592,umetnina,umjetnina,umitnina,je→e,umetnički↔umjetnički,NOUN,13,13,1,ambiguous-surface-variants
review,,,,8553,6588,zver,zvijer,zvir,ije→e,,NOUN,13,13,1,no-higher-trust-family-anchor|ambiguous-surface-variants
review,,,,8589,6545,nameštenik,namještenik,namištenik,je→e,nameštaj↔namještaj,NOUN,13,13,1,ambiguous-surface-variants
review,,,,8595,6540,zaleteti,zaletjeti,zaletiti,je→e,hteti↔htjeti,ADJ|ADV|VERB,59,55,17,ambiguous-surface-variants
known,,,,8599,6533,opredeliti,opredijeliti,oprediliti,ije→e,dodeliti↔dodijeliti,ADV|VERB,23,23,0,
review,,,,8616,6521,dobronameran,dobronamjeran,dobronamiran,je→e,,ADJ,91,91,48,no-higher-trust-family-anchor|ambiguous-surface-variants
known,,,,8628,6508,veštačenje,vještačenje,vištačenje,je→e,veštak↔vještak,NOUN,13,13,1,ambiguous-surface-variants
review,,,,8636,6495,opredeljenje,opredjeljenje,oprediljenje,je→e,odeljenje↔odjeljenje,NOUN,13,13,1,ambiguous-surface-variants
review,,,,8662,6463,zapovedati,zapovijedati,zapovidati,ije→e,,ADJ|ADV|VERB,60,60,16,no-higher-trust-family-anchor|ambiguous-surface-variants
review,,,,8681,6444,osveženje,osvježenje,osviženje,je→e,,NOUN,13,13,1,no-higher-trust-family-anchor|ambiguous-surface-variants
review,,,,8683,6443,preusmeriti,preusmjeriti,preusmiriti,je→e,odmeriti↔odmjeriti,ADJ|ADV|VERB,60,60,16,ambiguous-surface-variants
review,,,,8699,6423,prodreti,prodrijeti,prodriti,ije→e,uneti↔unijeti,ADJ|ADV|VERB,66,14,16,ambiguous-surface-variants
review,,,,8711,6399,gnezdo,gnijezdo,gnizdo,ije→e,,NOUN,13,13,1,no-higher-trust-family-anchor|ambiguous-surface-variants
review,,,,8731,6385,prezivati,prizivati,,i→e,,ADV|VERB,0,0,0,i-reflex-review-only|competing-ijekavian-targets|competing-ekavian-sources|fewer-than-three-compatible-msd-slots|fewer-than-two-changed-surface-pairs
review,,,,8740,6378,besprekorno,besprijekorno,besprikorno,ije→e,,ADV,1,1,0,no-higher-trust-family-anchor|fewer-than-three-compatible-msd-slots|fewer-than-two-changed-surface-pairs
review,,,,8755,6359,sekira,sjekira,sikira,je→e,,NOUN,13,13,1,no-higher-trust-family-anchor|ambiguous-surface-variants
review,,,,8762,6352,reznica,riznica,,i→e,,NOUN,0,0,0,i-reflex-review-only|competing-ijekavian-targets|competing-ekavian-sources|fewer-than-three-compatible-msd-slots|fewer-than-two-changed-surface-pairs
review,,,,8788,6328,železara,željezara,želizara,je→e,želeti↔željeti,NOUN,13,13,1,ambiguous-surface-variants
review,,,,8790,6325,zvezdan,zvjezdan,zvizdan,je→e,,ADJ,91,91,48,no-higher-trust-family-anchor|ambiguous-surface-variants
review,,,,8805,6308,prestizati,pristizati,,i→e,,ADV|VERB,0,0,0,i-reflex-review-only|competing-ijekavian-targets|competing-ekavian-sources|fewer-than-three-compatible-msd-slots|fewer-than-two-changed-surface-pairs
review,,,,8828,6275,ucenjivati,ucjenjivati,ucinjivati,je→e,ocenjivati↔ocjenjivati,ADJ|ADV|VERB,60,60,16,ambiguous-surface-variants
review,,,,8860,6241,peščan,pješčan,piščan,je→e,peščara↔pješčara,ADJ,91,91,48,ambiguous-surface-variants
review,,,,8875,6228,ugrejati,ugrijati,,i→e,,ADJ|ADV|VERB,0,0,0,i-reflex-review-only|competing-ijekavian-targets|competing-ekavian-sources|fewer-than-three-compatible-msd-slots|fewer-than-two-changed-surface-pairs
accepted,,,,8877,6226,letovati,ljetovati,litovati,je→e,pevati↔pjevati,ADV|VERB,23,23,0,
review,,,,8897,6208,primenjiv,primjenjiv,priminjiv,je→e,primenjivani↔primjenjivani,ADJ,91,91,48,ambiguous-surface-variants
review,,,,8901,6205,utešiti,utješiti,utišiti,je→e,,ADJ|ADV|VERB,60,60,16,no-higher-trust-family-anchor|ambiguous-surface-variants
review,,,,8915,6188,odevanje,odijevanje,odivanje,ije→e,razumevanje↔razumijevanje,NOUN,13,13,1,ambiguous-surface-variants
review,,,,8920,6181,zamenski,zamjenski,zaminski,je→e,namenski↔namjenski,ADJ|ADV,28,28,16,ambiguous-surface-variants
review,,,,8927,6173,ponegde,ponegdje,ponegdi,je→e,negde↔negdje,ADV,1,1,0,fewer-than-three-compatible-msd-slots|fewer-than-two-changed-surface-pairs
review,,,,8930,6169,zapovediti,zapovjediti,zapoviditi,je→e,,ADJ|ADV|VERB,60,60,16,no-higher-trust-family-anchor|ambiguous-surface-variants
review,,,,8934,6163,preboleti,preboljeti,preboliti,je→e,voleti↔voljeti,ADJ|ADV|VERB,60,13,16,ambiguous-surface-variants
review,,,,8944,6156,zaseniti,zasjeniti,zasiniti,je→e,primeniti↔primjeniti,ADJ|ADV|VERB,60,60,16,ambiguous-surface-variants
review,,,,8956,6139,malopre,maloprije,malopri,ije→e,pre↔prije,ADV,1,1,0,fewer-than-three-compatible-msd-slots|fewer-than-two-changed-surface-pairs
review,,,,8959,6136,preličan,priličan,,i→e,,ADJ,0,0,0,i-reflex-review-only|competing-ijekavian-targets|competing-ekavian-sources|fewer-than-three-compatible-msd-slots|fewer-than-two-changed-surface-pairs
review,,,,8968,6129,umereno,umjereno,umireno,je→e,,ADV,2,2,0,no-higher-trust-family-anchor|fewer-than-three-compatible-msd-slots
review,,,,8984,6112,svesnost,svjesnost,svisnost,je→e,svesno↔svjesno,NOUN,13,13,1,ambiguous-surface-variants
review,,,,8987,6107,prekrivati,prikrivati,,i→e,,ADJ|ADV|VERB,0,0,0,i-reflex-review-only|competing-ijekavian-targets|competing-ekavian-sources|fewer-than-three-compatible-msd-slots|fewer-than-two-changed-surface-pairs
review,,,,8995,6094,prevlačenje,privlačenje,,i→e,,NOUN,0,0,0,i-reflex-review-only|competing-ijekavian-targets|competing-ekavian-sources|fewer-than-three-compatible-msd-slots|fewer-than-two-changed-surface-pairs
review,,,,9016,6073,neprocenjiv,neprocjenjiv,neprocinjiv,je→e,,ADJ,91,91,48,no-higher-trust-family-anchor|ambiguous-surface-variants
review,,,,9019,6070,svetovan,svjetovan,svitovan,je→e,,ADJ,91,91,48,no-higher-trust-family-anchor|ambiguous-surface-variants
review,,,,9051,6033,belo,bijelo,bilo,ije→e,telo↔tijelo,ADV,1,1,0,fewer-than-three-compatible-msd-slots|fewer-than-two-changed-surface-pairs
review,,,,9064,6019,veroučitelj,vjeroučitelj,viroučitelj,je→e,vera↔vjera,NOUN,13,13,1,ambiguous-surface-variants
review,,,,9067,6016,spreda,sprijeda,sprida,ije→e,sreda↔srijeda,ADV,1,1,0,fewer-than-three-compatible-msd-slots|fewer-than-two-changed-surface-pairs
accepted,,,,9068,6015,bezuspešno,bezuspješno,bezuspišno,je→e,uspešno↔uspješno,ADV,3,3,0,
review,,,,9076,6009,preterivanje,pretjerivanje,pretirivanje,je→e,,NOUN,13,13,1,no-higher-trust-family-anchor|ambiguous-surface-variants
review,,,,9080,6003,voleti,voliti,,i→e,,ADJ|ADV|VERB,48,0,16,i-reflex-review-only|competing-ekavian-sources|conflicts-with-higher-trust-ekavian-map|fewer-than-two-changed-surface-pairs|ambiguous-surface-variants
review,,,,9086,5996,podcenjivati,podcjenjivati,podcinjivati,je→e,ocenjivati↔ocjenjivati,ADJ|ADV|VERB,60,60,16,ambiguous-surface-variants
review,,,,9099,5985,meriti,miriti,,i→e,,ADJ|ADV|VERB,0,0,0,i-reflex-review-only|competing-ekavian-sources|fewer-than-three-compatible-msd-slots|fewer-than-two-changed-surface-pairs
review,,,,9111,5980,žlezda,žlijezda,žlizda,ije→e,,NOUN,13,13,1,no-higher-trust-family-anchor|ambiguous-surface-variants
review,,,,9135,5952,nečiji,ničiji,,i→e,,DET,0,0,0,i-reflex-review-only|competing-ijekavian-targets|competing-ekavian-sources|fewer-than-three-compatible-msd-slots|fewer-than-two-changed-surface-pairs
review,,,,9149,5940,premjereno,primjereno,,i→e,,ADV,0,0,0,i-reflex-review-only|competing-ijekavian-targets|fewer-than-three-compatible-msd-slots|fewer-than-two-changed-surface-pairs
accepted,,,,9149,5940,primereno,primjereno,primireno,je→e,primer↔primjer,ADV,3,3,0,
review,,,,9164,5926,ucena,ucjena,ucina,je→e,ocena↔ocjena,NOUN,13,13,1,ambiguous-surface-variants
known,,,,9168,5921,razrešenje,razrješenje,razrišenje,je→e,rešenje↔rješenje,NOUN,13,13,1,ambiguous-surface-variants
review,,,,9170,5919,nadomestiti,nadomjestiti,nadomistiti,je→e,smestiti↔smjestiti,ADJ|ADV|VERB,60,60,16,ambiguous-surface-variants
review,,,,9171,5919,promešati,promiješati,promišati,ije→e,mešati↔miješati,ADJ|ADV|VERB,60,60,16,ambiguous-surface-variants
review,,,,9203,5887,promenjiv,promjenjiv,prominjiv,je→e,promena↔promjena,ADJ,91,91,48,ambiguous-surface-variants
known,,,,9211,5876,dosledno,dosljedno,doslidno,je→e,,ADV,2,2,0,no-higher-trust-family-anchor|fewer-than-three-compatible-msd-slots
review,,,,9215,5874,nevera,nevjera,nevira,je→e,vera↔vjera,NOUN,13,13,1,ambiguous-surface-variants
review,,,,9220,5867,besprekoran,besprijekoran,besprikoran,ije→e,,ADJ,37,37,16,no-higher-trust-family-anchor|ambiguous-surface-variants
review,,,,9225,5861,ocenjivački,ocjenjivački,ocinjivački,je→e,ocenjivati↔ocjenjivati,ADJ,27,27,16,ambiguous-surface-variants
review,,,,9226,5861,preživeli,preživjeli,preživili,je→e,,ADJ,27,27,16,no-higher-trust-family-anchor|ambiguous-surface-variants
review,,,,9235,5850,ranjev,ranjiv,,i→e,,ADJ,0,0,0,i-reflex-review-only|competing-ijekavian-targets|competing-ekavian-sources|fewer-than-three-compatible-msd-slots|fewer-than-two-changed-surface-pairs
accepted,,,,9240,5842,zastareti,zastarjeti,zastariti,je→e,zastarelost↔zastarjelost,ADV|VERB,23,13,0,
review,,,,9276,5801,mnenje,mnijenje,mninje,ije→e,,NOUN,13,13,1,no-higher-trust-family-anchor|ambiguous-surface-variants
known,,,,9279,5796,izveštavanje,izvještavanje,izvištavanje,je→e,izveštaj↔izvještaj,NOUN,13,13,1,ambiguous-surface-variants
review,,,,9286,5789,stideti,stidjeti,stiditi,je→e,videti↔vidjeti,ADJ|ADV|VERB,60,6,16,ambiguous-surface-variants
review,,,,9294,5780,senilo,sjenilo,sinilo,je→e,,NOUN,13,13,1,no-higher-trust-family-anchor|ambiguous-surface-variants
review,,,,9303,5771,semenište,sjemenište,simenište,je→e,,NOUN,13,13,1,no-higher-trust-family-anchor|ambiguous-surface-variants
review,,,,9305,5768,ispoved,ispovijed,ispovid,ije→e,,NOUN,13,13,1,no-higher-trust-family-anchor|ambiguous-surface-variants
review,,,,9311,5763,letos,ljetos,litos,je→e,,ADV,1,1,0,no-higher-trust-family-anchor|fewer-than-three-compatible-msd-slots|fewer-than-two-changed-surface-pairs
accepted,,,,9316,5759,smeškati,smješkati,smiškati,je→e,smena↔smjena,ADV|VERB,23,23,0,
accepted,,,,9322,5755,lebdeti,lebdjeti,lebditi,je→e,snabdeti↔snabdjeti,VERB,16,6,0,
review,,,,9325,5751,usmerenje,usmjerenje,usmirenje,je→e,uverenje↔uvjerenje,NOUN,13,13,1,ambiguous-surface-variants
review,,,,9345,5729,celiti,cijeliti,ciliti,ije→e,dodeliti↔dodijeliti,ADJ|ADV|VERB,60,60,16,ambiguous-surface-variants
review,,,,9351,5720,nameštati,namještati,namištati,je→e,nameštaj↔namještaj,ADJ|ADV|VERB,60,60,16,ambiguous-surface-variants
accepted,,,,9361,5712,žudeti,žudjeti,žuditi,je→e,predvideti↔predvidjeti,ADV|VERB,23,12,0,
review,,,,9371,5700,belac,bijelac,bilac,ije→e,,NOUN,14,14,0,no-higher-trust-family-anchor
review,,,,9379,5691,detetov,djetetov,ditetov,je→e,,ADJ,34,34,16,no-higher-trust-family-anchor|ambiguous-surface-variants
review,,,,9387,5681,mleti,mljeti,mliti,je→e,želeti↔željeti,ADJ|ADV|VERB,60,38,16,ambiguous-surface-variants
review,,,,9410,5661,pesmica,pjesmica,pismica,je→e,pesma↔pjesma,NOUN,13,13,1,ambiguous-surface-variants
review,,,,9411,5659,unapređenje,unaprjeđenje,unapriđenje,je→e,,NOUN,13,13,1,no-higher-trust-family-anchor|ambiguous-surface-variants
review,,,,9418,5652,podceniti,podcijeniti,podciniti,ije→e,ceniti↔cijeniti,ADJ|ADV|VERB,60,60,16,ambiguous-surface-variants
review,,,,9464,5603,punoletan,punoljetan,punolitan,je→e,punoletni↔punoljetni,ADJ,91,91,48,ambiguous-surface-variants
review,,,,9496,5565,prepodne,prijepodne,pripodne,ije→e,pre↔prije,NOUN,13,13,1,ambiguous-surface-variants
review,,,,9505,5558,nerazumevanje,nerazumijevanje,nerazumivanje,ije→e,razumevanje↔razumijevanje,NOUN,13,13,1,ambiguous-surface-variants
accepted,,,,9517,5547,slepo,slijepo,slipo,ije→e,slediti↔slijediti,ADV,3,3,0,
review,,,,9540,5529,celodnevan,cjelodnevan,cilodnevan,je→e,,ADJ,91,91,48,no-higher-trust-family-anchor|ambiguous-surface-variants
review,,,,9565,5505,pesnički,pjesnički,pisnički,je→e,naslednički↔nasljednički,ADJ,27,27,16,ambiguous-surface-variants
review,,,,9587,5479,prečiti,priječiti,pričiti,ije→e,sprečiti↔spriječiti,ADJ|ADV|VERB,60,60,16,ambiguous-surface-variants
review,,,,9620,5448,poistovećivati,poistovjećivati,poistovićivati,je→e,pevati↔pjevati,ADJ|ADV|VERB,60,60,16,ambiguous-surface-variants
review,,,,9632,5433,seliti,siliti,,i→e,,ADJ|ADV|VERB,0,0,0,i-reflex-review-only|competing-ijekavian-targets|competing-ekavian-sources|fewer-than-three-compatible-msd-slots|fewer-than-two-changed-surface-pairs
review,,,,9640,5428,izbegao,izbjegao,izbigao,je→e,izbegavati↔izbjegavati,ADJ,37,37,16,ambiguous-surface-variants
accepted,,,,9641,5428,sveže,svježe,sviže,je→e,svedok↔svjedok,ADV,3,3,0,
review,,,,9643,5424,odseći,odsjeći,odsići,je→e,odsek↔odsjek,ADJ|VERB,47,47,16,ambiguous-surface-variants
accepted,,,,9660,5411,ravnomerno,ravnomjerno,ravnomirno,je→e,namerno↔namjerno,ADV,3,3,0,
known,,,,9692,5376,odeljak,odjeljak,odiljak,je→e,odeljenje↔odjeljenje,NOUN,13,13,1,ambiguous-surface-variants
review,,,,9713,5361,pripovedati,pripovijedati,pripovidati,ije→e,,ADJ|ADV|VERB,60,60,16,no-higher-trust-family-anchor|ambiguous-surface-variants
review,,,,9715,5359,boleti,boliti,,i→e,,ADJ|ADV|VERB,48,0,16,i-reflex-review-only|competing-ekavian-sources|fewer-than-two-changed-surface-pairs|ambiguous-surface-variants
review,,,,9721,5353,izvešćivati,izvješćivati,izvišćivati,je→e,pevati↔pjevati,ADJ|ADV|VERB,60,60,16,ambiguous-surface-variants
review,,,,9727,5349,nepromenjen,nepromijenjen,neprominjen,ije→e,,ADJ,91,91,48,no-higher-trust-family-anchor|ambiguous-surface-variants
review,,,,9728,5349,svedodžba,svjedodžba,svidodžba,je→e,svedok↔svjedok,NOUN,13,13,1,ambiguous-surface-variants
review,,,,9733,5345,cevovod,cjevovod,civovod,je→e,,NOUN,13,13,1,no-higher-trust-family-anchor|ambiguous-surface-variants
review,,,,9736,5343,igde,igdje,igdi,je→e,gde↔gdje,ADV,1,1,0,fewer-than-three-compatible-msd-slots|fewer-than-two-changed-surface-pairs
review,,,,9737,5343,pospešivati,pospješivati,pospišivati,je→e,pevati↔pjevati,ADJ|ADV|VERB,60,60,16,ambiguous-surface-variants
review,,,,9744,5335,bedan,bijedan,bidan,ije→e,,ADJ,64,64,32,no-higher-trust-family-anchor|ambiguous-surface-variants
review,,,,9767,5316,sedeći,sjedeći,sideći,je→e,sledeći↔sljedeći,ADJ,28,28,16,ambiguous-surface-variants
review,,,,9790,5296,usev,usjev,usiv,je→e,,NOUN,13,13,1,no-higher-trust-family-anchor|ambiguous-surface-variants
review,,,,9808,5271,licemer,licemjer,licemir,je→e,premer↔premjer,NOUN,13,13,1,ambiguous-surface-variants
review,,,,9824,5259,lev,lijev,liv,ije→e,levo↔lijevo,NOUN,13,13,1,ambiguous-surface-variants
review,,,,9837,5248,prevoditi,privoditi,,i→e,,ADJ|ADV|VERB,0,0,0,i-reflex-review-only|competing-ijekavian-targets|competing-ekavian-sources|fewer-than-three-compatible-msd-slots|fewer-than-two-changed-surface-pairs
review,,,,9839,5246,bezuvetan,bezuvjetan,bezuvitan,je→e,,ADJ,91,91,48,no-higher-trust-family-anchor|ambiguous-surface-variants
review,,,,9903,5193,savetovalište,savjetovalište,savitovalište,je→e,savet↔savjet,NOUN,13,13,1,ambiguous-surface-variants
review,,,,9910,5187,levati,lijevati,livati,ije→e,podrazumevati↔podrazumijevati,ADJ|ADV|VERB,60,60,16,ambiguous-surface-variants
review,,,,9911,5186,nezamenjiv,nezamjenjiv,nezaminjiv,je→e,,ADJ,37,37,16,no-higher-trust-family-anchor|ambiguous-surface-variants
review,,,,9929,5165,peške,pješke,piške,je→e,peščara↔pješčara,ADV,1,1,0,fewer-than-three-compatible-msd-slots|fewer-than-two-changed-surface-pairs
accepted,,,,9938,5158,predsedati,predsjedati,predsidati,je→e,predsedavajući↔predsjedavajući,ADV|VERB,23,23,0,
